gene	phenotype	dd.p	dd.fdr	direction	n_tumor_types	tumors	n_samples	n_mutated	mut_freq	mut.E1	mut.E0	E1	E0	alpha_e	cohort
BRAF	C4	0.526924285775847	1	up_in_subtype	10	BLCA,COADREAD,GBM,HNSC,LUAD,LUSC,PRAD,STAD,THCA,UCEC	3961	388	0.098	15	373	262	3699	0.507374419471582	c099
CNBD1	C4	0.534568768838887	1	up_in_subtype	8	BLCA,BRCA,COADREAD,HNSC,LUAD,LUSC,STAD,UCEC	3974	68	0.0171	3	65	180	3794	0.719010441455873	c093
TRAF3	C4	0.536429291095334	1	up_in_subtype	6	BRCA,CESC,HNSC,LUAD,LUSC,STAD	2960	31	0.0105	2	29	126	2834	1.01843412562322	c146
U2AF1	C4	0.547358606755229	1	up_in_subtype	3	BLCA,LUAD,UCEC	1239	27	0.0218	2	25	68	1171	0.742085580077768	c223
ASXL2	C4	0.547668010767911	1	up_in_rest	9	BLCA,BRCA,CESC,COADREAD,HNSC,LIHC,LUAD,LUSC,UCEC	4245	108	0.0254	8	100	328	3917	-0.367713108705289	c086
ARHGAP35	C4	0.556553542496429	1	up_in_rest	12	BLCA,BRCA,CESC,COADREAD,HNSC,KIRC,LIHC,LUAD,LUSC,OV,STAD,UCEC	5111	159	0.0311	8	151	396	4715	-0.822933460320609	c048
MAP2K4	C4	0.556965449669665	1	up_in_subtype	4	BRCA,COADREAD,LUAD,UCEC	2308	50	0.0217	4	46	127	2181	0.554811065592211	c173
AXIN2	C4	0.569940612445244	1	up_in_rest	7	BLCA,COADREAD,HNSC,LIHC,LUAD,STAD,UCEC	2873	53	0.0184	3	50	241	2632	-0.539894665324027	c155
TBL1XR1	C4	0.582568345563452	1	up_in_rest	6	BLCA,BRCA,CESC,LUAD,LUSC,UCEC	2953	34	0.0115	1	33	164	2789	-0.186246798908931	c148
RFC1	C4	0.58992521285018	1	up_in_rest	5	BLCA,BRCA,LIHC,LUAD,UCEC	2581	31	0.012	3	28	302	2279	-0.569498538066909	c166
EEF1A1	C4	0.5902281205538	1	up_in_subtype	8	BLCA,BRCA,GBM,HNSC,LIHC,LUAD,STAD,UCEC	3515	55	0.0156	12	43	413	3102	0.247009675252035	c117
ZFP36L1	C4	0.592458912161987	1	up_in_subtype	3	BLCA,LUAD,LUSC	1250	28	0.0224	3	25	61	1189	0.492965779426833	c222
TNFAIP3	C4	0.593967164935712	1	up_in_subtype	4	BLCA,LUAD,LUSC,UCEC	1686	27	0.016	2	25	75	1611	0.635358826347738	c204
FOXA2	C4	0.60258657899119	1	up_in_rest	2	LUSC,UCEC	883	19	0.0215	0	19	21	862	-0.844895252409402	c231
CYSLTR2	C4	0.603646549134925	1	up_in_rest	3	HNSC,LUAD,LUSC	1351	19	0.0141	0	19	28	1323	-0.888373700087456	c219
FAT1	C4	0.604996134739337	1	up_in_subtype	15	BLCA,BRCA,CESC,COADREAD,HNSC,KIRC,KIRP,LGG,LIHC,LUAD,LUSC,OV,SARC,STAD,UCEC	6084	373	0.0613	25	348	655	5429	0.138045672185971	c014
